,Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],PSS (Low) [],PST (Low) [],SinglePulse (Low) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],PSS (Mid1) [],PST (Mid1) [],SinglePulse (Mid1) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],PSS (Mid2) [],PST (Mid2) [],SinglePulse (Mid2) [],Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],PSS (Mid5a) [],PST (Mid5a) [],SinglePulse (Mid5a) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],PSS (Mid5b) [],PST (Mid5b) [],SinglePulse (Mid5b) []
Calibration process out [MB],0.0,0.1872457142857143,0.0,80.98377142857143,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,0.12608,0.0,9.89728,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,0.16810666666666668,0.0,10.422613333333333,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,0.16810666666666668,0.0,10.422613333333333,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,0.16810666666666668,0.0,10.422613333333333,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined)
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),0.008942527807946498,0.0012266841986209188,0.0012266841986209188,0.007009623992119535,11.484567948688646,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.30842121826323354,0.04230743734749432,0.04230743734749432,0.42307437347494314,693.165053501347,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.20145169506866903,0.02763397737567476,0.02763397737567476,0.2558701608858774,603.673447097407,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.2011031841497954,0.019157062961990875,0.019157062961990875,0.25542750615987836,418.4924260923447,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.2016539050723839,0.019209524564889488,0.019209524564889488,0.2561269941985265,419.63846729486585,(undefined),(undefined),(undefined),(undefined)
Working (cache) memory [TeraBytes],(undefined),3.52404543661815e-05,3.168395721108358e-05,3.524045436621058e-05,2.5190893016891716e-06,3.0554099059398418e-06,1.1585490969341139e-06,4.900657665376005e-05,(undefined),(undefined),(undefined),(undefined),(undefined),0.0012827575938465154,0.003803588020723922,0.0012827575943231652,0.000111972989518231,0.0001801496378440709,7.08440249005387e-05,0.024347703219941903,(undefined),(undefined),(undefined),(undefined),(undefined),0.0007629896477655825,0.00034730740716091424,0.0007629897134606334,6.053610625429269e-05,0.0001058706175547105,2.7874805826881566e-05,0.00464549268322032,(undefined),(undefined),(undefined),(undefined),(undefined),0.0003449528455479771,9.730454878010269e-06,0.000344952807870792,8.139659091406866e-06,2.0453611744874862e-05,7.340977463398081e-06,0.000923146349130559,(undefined),(undefined),(undefined),(undefined),(undefined),0.0008419779707175075,2.563965184365659e-06,0.0008419779707175075,4.943023806981867e-06,1.2902988014380765e-05,4.576950447379476e-06,0.00024098656306696737,(undefined),(undefined),(undefined),(undefined)
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input Buffer Size [PetaBytes],1.652488667136,1.652488667136,0.00022951231488,1.652488667136,0.826244333568,0.826244333568,1.652488667136,1.652488667136,1.652488667136,0.000529288,0.00077309411328,1.31572e-06,1.5776005675885711,1.5776005675885711,0.00021911118994285712,1.5776005675885711,0.7888002837942856,0.7888002837942856,1.5776005675885711,1.5776005675885711,1.5776005675885711,0.001587864,0.00077309411328,3.94716e-06,1.5776005675885711,1.5776005675885711,0.00021911118994285712,1.5776005675885711,0.7888002837942856,0.7888002837942856,1.5776005675885711,1.5776005675885711,1.5776005675885711,0.001587864,0.00077309411328,3.94716e-06,1.5776005675885711,1.5776005675885711,0.00021911118994285712,1.5776005675885711,0.7888002837942856,0.7888002837942856,1.5776005675885711,1.5776005675885711,1.5776005675885711,0.001587864,0.00077309411328,3.94716e-06,1.5776005675885711,1.5776005675885711,0.00021911118994285712,1.5776005675885711,0.7888002837942856,0.7888002837942856,1.5776005675885711,1.5776005675885711,1.5776005675885711,0.001587864,0.00077309411328,3.94716e-06
Total buffer ingest rate [TeraBytes/s],0.45902462976,0.45902462976,0.22951231488,0.45902462976,0.22951231488,0.22951231488,0.45902462976,0.45902462976,0.45902462976,(undefined),(undefined),(undefined),0.4382223798857142,0.4382223798857142,0.2191111899428571,0.4382223798857142,0.2191111899428571,0.2191111899428571,0.4382223798857142,0.4382223798857142,0.4382223798857142,(undefined),(undefined),(undefined),0.4382223798857142,0.4382223798857142,0.2191111899428571,0.4382223798857142,0.2191111899428571,0.2191111899428571,0.4382223798857142,0.4382223798857142,0.4382223798857142,(undefined),(undefined),(undefined),0.4382223798857142,0.4382223798857142,0.2191111899428571,0.4382223798857142,0.2191111899428571,0.2191111899428571,0.4382223798857142,0.4382223798857142,0.4382223798857142,(undefined),(undefined),(undefined),0.4382223798857142,0.4382223798857142,0.2191111899428571,0.4382223798857142,0.2191111899428571,0.2191111899428571,0.4382223798857142,0.4382223798857142,0.4382223798857142,(undefined),(undefined),(undefined)
Output size [TB],0.0,0.0,0.0,0.0,0.06658064388822461,0.06658064388822461,0.19023041110921315,311.6735055613349,1646.046216192,0.0574288,0.77309411328,0.003445728,0.0,0.0,0.0,0.0,1.9454912343332391,1.9454912343332391,9.376629883507743,15362.670401139085,1561.6652083199997,0.1722864,0.77309411328,0.004045728,0.0,0.0,0.0,0.0,1.270737821167567,1.270737821167567,6.943922520041349,13379.261044438837,1561.6652083199997,0.1722864,0.77309411328,0.004045728,0.0,0.0,0.0,0.0,1.0397864327677506,1.0397864327677506,6.9319095517850045,11357.240609644552,1561.6652083199997,0.1722864,0.77309411328,0.004045728,0.0,0.0,0.0,0.0,1.0426338871527712,1.0426338871527712,6.950892581018475,11388.34240474067,1561.6652083199997,0.1722864,0.77309411328,0.004045728
Buffer Read Rate [TeraBytes/s],0.45723506005333336,0.5165087571916585,0.18591163710790132,2.5825437859582925,0.5739242624478184,0.5739242624478184,1.1478485248956367,5.48682072064,5.48682072064,0.0008821466666666666,0.0004294967296,0.000131572,0.4337958912,0.8675917824,0.4337958912,4.337958912,2.6027753472,2.6027753472,5.2055506944,5.2055506944,5.2055506944,0.00264644,0.0004294967296,0.000394716,0.4337958912,0.8675917824,0.350122479123682,4.337958912,1.6222123927099845,1.6222123927099845,3.244424785419969,5.2055506944,5.2055506944,0.00264644,0.0004294967296,0.000394716,0.4337958912,0.8675917824,0.3484968227321394,4.337958912,1.6146802869724088,1.6146802869724088,3.2293605739448177,5.2055506944,5.2055506944,0.00264644,0.0004294967296,0.000394716,0.4337958912,0.8675917824,0.3510650288712247,4.337958912,1.6265794805620166,1.6265794805620166,3.2531589611240332,5.2055506944,5.2055506944,0.00264644,0.0004294967296,0.000394716
Facet visibility rate [TeraBytes/s],0.0,0.047310353073921764,0.021405929097848952,0.42579317766529584,0.035899085371312624,0.035899085371312624,0.07179817074262525,1.3102355238947663,(undefined),(undefined),(undefined),(undefined),0.0,0.0021501053298627385,0.017607397640903605,0.019350947968764645,0.015297541543172024,0.015297541543172024,0.03059508308634405,0.2476232698416766,(undefined),(undefined),(undefined),(undefined),0.0,0.0018090792002839761,0.009153318362902637,0.01628171280255579,0.007638133519238179,0.007638133519238179,0.12598019820355177,0.3386713538283847,(undefined),(undefined),(undefined),(undefined),0.0,0.003645046166440652,0.009110818587588458,0.03280541549796586,0.06269762965107077,0.06269762965107077,0.12539525930214154,0.9015038166263064,(undefined),(undefined),(undefined),(undefined),0.0,0.0036719078361766378,0.009177959579961073,0.03304717052558974,0.06315967183885224,0.06315967183885224,0.12631934367770448,0.9015038166263064,(undefined),(undefined),(undefined),(undefined)
Image Write Rate [TeraBytes/s],0.0,0.0052410419387232225,0.0776450657588625,0.04716937744850901,0.019770734336747406,0.003954146867349482,0.007908293734698963,12.956948454930782,(undefined),(undefined),(undefined),(undefined),0.0,0.31632945462895756,3.254418257499563,2.8469650916606186,1.1932866944165066,0.2386573388833013,0.4773146777666026,782.0323680528016,(undefined),(undefined),(undefined),(undefined),0.0,0.27548949752980384,2.8342540898127955,2.479405477768235,1.0392264995980254,0.20784529991960507,0.28867402766611816,681.0674787765619,(undefined),(undefined),(undefined),(undefined),0.0,0.27501290140142964,2.8293508374632688,2.475116112612867,0.7204365558355543,0.14408731116711085,0.2881746223342217,472.1453012323888,(undefined),(undefined),(undefined),(undefined),0.0,0.2757660240306105,2.8370990126606017,2.4818942162754944,0.7224094708163571,0.1444818941632714,0.2889637883265428,473.4382707942077,(undefined),(undefined),(undefined),(undefined)
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOP/s],0.6323672603670755,0.4981911815514156,0.26625223268530523,4.5876744898412145,1.6393477345346628,1.5563319728394902,1.6550244355434398,13.98467825746409,0.5193047194555733,0.00050088,2.755e-07,4e-06,0.6036604152474057,1.2449291941246323,0.6915605329803839,11.223115460463788,7.969630368588912,7.218579029598958,7.489536531956764,38.599094688378834,0.12366797864959998,0.00050088,2.755e-07,4e-06,0.6036604152474057,0.9540150254097853,0.5544420049055788,8.597240788943859,4.8026165970691475,4.4275767047375725,4.540754328771916,27.790028253927325,0.12366797864959998,0.00050088,2.755e-07,4e-06,0.6036604152474057,0.8186834389965965,0.5507688451264352,7.376234970051831,4.53999327528316,4.3022316353557795,4.378894197780308,18.51513355792685,0.12366797864959998,0.00050088,2.755e-07,4e-06,0.6036604152474057,0.7792198313237068,0.5544971451922226,7.021062765765501,4.511330733583193,4.307859717682925,4.384790164931726,17.679974560945947,0.12366797864959998,0.00050088,2.755e-07,4e-06
-> Phase Rotation [PetaFLOP/s],,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0819874234368,0.0,0.7378868109312,0.0501034254336,0.0501034254336,0.1002068508672,0.1781455126528,,,,,,0.0495973302272,0.0,0.4463759720448,0.031227588559667202,0.031227588559667202,0.0,0.1002068508672,,,,,,0.02530476032,0.0,0.22774284288,0.0,0.0,0.0,0.0,,,,,,0.02530476032,0.0,0.22774284288,0.0,0.0,0.0,0.0,,,,
-> Flag [PetaFLOP/s],0.01063407058944,0.00600441430235303,0.0021612227813793527,0.05403972872117727,0.012231760843419131,0.012231760843419131,0.024463521686838262,0.11693786660864,0.11693786660864,,,,0.010152151800685712,0.010085754470399997,0.005042877235199999,0.09077179023359998,0.055471649587199995,0.055471649587199995,0.11094329917439999,0.11094329917439999,0.11094329917439999,,,,0.010152151800685712,0.010085754470399997,0.004070173819812803,0.09077179023359998,0.03457340161963154,0.03457340161963154,0.06914680323926307,0.11094329917439999,0.11094329917439999,,,,0.010152151800685712,0.010085754470399997,0.0040512755642611205,0.09077179023359998,0.03441287361609946,0.03441287361609946,0.06882574723219892,0.11094329917439999,0.11094329917439999,,,,0.010152151800685712,0.010085754470399997,0.004081130960627987,0.09077179023359998,0.03466647517947798,0.03466647517947798,0.06933295035895597,0.11094329917439999,0.11094329917439999,,,
-> Gridding Kernel Update [PetaFLOP/s],,0.012367171919543804,0.0018761891555732504,0.1113045472759388,0.01664266927943288,0.017088997939624602,0.030696506086490754,0.5990224267814661,,,,,,0.0601208069378108,0.0006570930803860376,0.5410872625236847,0.03572002170395164,0.043444937228740134,0.061147247282247366,1.8114521159383574,,,,,,0.024943911159001703,0.0001311677319314034,0.22449520910900164,0.016916193426024913,0.0203839162873263,0.012231351150763944,0.3357176666336536,,,,,,0.011340122827851427,9.319298971565055e-05,0.1020611034137523,0.0030432376967599864,0.004108728042976686,0.00592148776255969,0.05472267781189552,,,,,,0.009017922323305765,9.223297118799815e-05,0.08116130090975188,0.0025643027305512333,0.00310830273289,0.00506581226559104,0.025317848876473686,,,,
-> Reprojection [PetaFLOP/s],,3.2756512117020146e-05,,0.0002948086090531813,0.0001235670896046713,3.089177240116782e-06,4.9426835841868514e-05,0.08098092784331737,,,,,,0.001977059091430985,,0.017793531822878864,0.007458041840103166,0.00018645104600257915,0.0029832167360412665,4.887702300330011,,,,,,0.0017218093595612737,,0.015496284236051467,0.006495165622487659,0.00016237914056219146,0.0018042126729132385,4.256671742353512,,,,,,0.0017188306337589355,,0.015469475703830417,0.004502728473972214,0.00011256821184930536,0.0018010913895888858,2.9509081327024305,,,,,,0.001723537650191316,,0.015511838851721844,0.004515059192602231,0.00011287647981505579,0.0018060236770408927,2.9589891924637985,,,,
-> Subtract Visibility [PetaFLOP/s],,4.3042396432638214e-05,1.549263642565844e-05,0.0003873815678937439,8.768287342952779e-05,8.768287342952779e-05,0.00017536574685905558,0.0008382642767644445,,,,,,7.22993152e-05,3.61496576e-05,0.0006506938367999999,0.0003976462336,0.0003976462336,0.0007952924672,0.0007952924672,,,,,,7.22993152e-05,2.9176873260306836e-05,0.0006506938367999999,0.00024783800444180316,0.00024783800444180316,0.0004956760088836063,0.0007952924672,,,,,,7.22993152e-05,2.904140189434495e-05,0.0006506938367999999,0.0002466872660652291,0.0002466872660652291,0.0004933745321304582,0.0007952924672,,,,,,7.22993152e-05,2.925541907260206e-05,0.0006506938367999999,0.000248505198419197,0.000248505198419197,0.000497010396838394,0.0007952924672,,,,
-> Identify Component [PetaFLOP/s],,,,0.0002980439497153589,3.6622932828249475e-05,3.6622932828249475e-05,0.00020927390187571127,0.34287436083316536,,,,,,,,0.013744460721857322,0.00020949963846701055,0.00020949963846701055,0.0020949963846701057,5.78532372790039,,,,,,,,0.00626548958397532,0.00015471753830621914,0.00015471753830621914,0.0003555060549649921,3.379856196812126,,,,,,,,0.0032439484106489397,2.66434461015972e-05,2.66434461015972e-05,0.00035524594802129603,0.5820349612380914,,,,,,,,0.003244213180323261,2.6674272898172246e-05,2.6674272898172246e-05,0.00035565697197562996,0.582708382884872,,,,
-> Degridding Kernel Update [PetaFLOP/s],,0.012367171919543804,0.0018761891555732504,0.1113045472759388,0.01664266927943288,0.017088997939624602,0.030696506086490754,0.5990224267814661,,,,,,0.0601208069378108,0.0006570930803860376,0.5410872625236847,0.03572002170395164,0.043444937228740134,0.061147247282247366,1.8114521159383574,,,,,,0.024943911159001703,0.0001311677319314034,0.22449520910900164,0.016916193426024913,0.0203839162873263,0.012231351150763944,0.3357176666336536,,,,,,0.011340122827851427,9.319298971565055e-05,0.1020611034137523,0.0030432376967599864,0.004108728042976686,0.00592148776255969,0.05472267781189552,,,,,,0.009017922323305765,9.223297118799815e-05,0.08116130090975188,0.0025643027305512333,0.00310830273289,0.00506581226559104,0.025317848876473686,,,,
-> Visibility Weighting [PetaFLOP/s],,6.308047076522902e-05,2.8541238797131933e-05,0.0005677242368870612,4.786544716175017e-05,4.786544716175017e-05,9.573089432350034e-05,0.0017469806985263554,,,,,,0.00023221137562517576,2.3476530187871474e-05,0.0020899023806265817,0.00018357049851806426,0.00018357049851806426,0.00036714099703612853,0.005282629756622434,,,,,,0.00011819317441855313,1.2204424483870182e-05,0.0010637385697669782,9.165760223085813e-05,9.165760223085813e-05,0.0001679735976047357,0.004064056245940617,,,,,,0.00012150153888135504,1.2147758116784613e-05,0.0010935138499321955,8.359683953476104e-05,8.359683953476104e-05,0.00016719367906952207,0.0012020050888350748,,,,,,0.0001223969278725546,1.2237279439948093e-05,0.0011015723508529915,8.421289578513632e-05,8.421289578513632e-05,0.00016842579157027264,0.0012020050888350748,,,,
-> Receive [PetaFLOP/s],0.00015303096547555553,,,,,,,,,,,,0.0001461304123428571,,,,,,,,,,,,0.0001461304123428571,,,,,,,,,,,,0.0001461304123428571,,,,,,,,,,,,0.0001461304123428571,,,,,,,,,,,
-> Average [PetaFLOP/s],0.00030601641983999994,,,,,,,,,,,,0.00029214825325714285,,,,,,,,,,,,0.00029214825325714285,,,,,,,,,,,,0.00029214825325714285,,,,,,,,,,,,0.00029214825325714285,,,,,,,,,,,
-> Source Find [PetaFLOP/s],,,,1.5e-11,,,,,,,,,,,,1.5e-11,,,,,,,,,,,,1.5e-11,,,,,,,,,,,,1.5e-11,,,,,,,,,,,,1.5e-11,,,,,,,,
-> Grid [PetaFLOP/s],,0.019338317270972467,0.0015428668482284043,0.1740448554387974,0.04473027457654797,0.009109724059574028,0.016928660178554867,0.5976618062350211,,,,,,0.06559810903540765,0.005607176698775675,0.5903829813805415,0.24354939532236616,0.055705181232224316,0.08753082935477505,4.176926279847788,,,,,,0.03609605459329583,0.001150434443237754,0.3248645000176037,0.11176384634645822,0.025632476484991305,0.06360681952901125,2.2571435498487746,,,,,,0.034732626176054916,0.0005525753522844604,0.31259362794423495,0.10713258331647811,0.027980886482367004,0.04181354808104995,0.8715967921670125,,,,,,0.031232161111894863,0.0005207279556341805,0.28108945000705376,0.09648103517478221,0.024088372350642814,0.0380460556708013,0.47194808444266717,,,,
-> Correct [PetaFLOP/s],,0.020660350287666343,0.0018591163710790129,0.1859431525889971,0.04208777924617335,0.04208777924617335,0.0841755584923467,0.40236685284693335,0.40236685284693335,,,,,0.0011567890432,0.0001445986304,0.010411101388799998,0.0063623397376,0.0063623397376,0.0127246794752,0.0127246794752,0.0127246794752,,,,,0.0011567890432,0.00011670749304122734,0.010411101388799998,0.003965408071068851,0.003965408071068851,0.007930816142137701,0.0127246794752,0.0127246794752,,,,,0.0011567890432,0.0001161656075773798,0.010411101388799998,0.003946996257043666,0.003946996257043666,0.007893992514087332,0.0127246794752,0.0127246794752,,,,,0.0011567890432,0.00011702167629040824,0.010411101388799998,0.003976083174707152,0.003976083174707152,0.007952166349414303,0.0127246794752,0.0127246794752,,,
