Frequency Max [GHz],0.35,0.35,1.05,1.05,13.5,13.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.95,0.95,0.95,0.95,1.5,1.5,1.5,1.4,1.56,1.56,1.56,1.425,12.0,12.0,12.0,1.5,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,11.0,11.0,11.0,11.0,11.0,11.0
Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,41000,41000,65536,65536,65536,65536,100,5000,65536,65536,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Frequencies backward kernels8,,,319.7024613706821,747.0261880804029,138.64595146238563,583.4182437654886,,,,,,,,,,,,,123.61060986085353,100.0,100.0,251.28525911676576,122.81250701102232,100.0,100.0,101.27823208969077,110.40795975948296,100.0,100.0,100.0,100.0,100.0,100.0,122.98156987154661,122.98156961804989,181.39750741194968,208.20361382011058,177.32872559183602,161.92908893964312,216.40816575288744,177.32872559183602,161.92908893964312,208.20361382011058,177.32872559183602,161.92908893964312,139.7364946950342,151.67056458999124,137.90699028863597,155.68438877258077,151.67056458999124,137.90699028863597
Frequencies backward kernels9,,,341.48615723319995,826.7800168649335,148.88144962800067,669.889276031942,,,,,,,,,,,,,141.78396900457514,100.0,100.0,289.14965033338694,139.79097527339238,100.0,100.0,116.54818310036113,126.18781412043548,100.0,100.0,100.0,100.0,100.0,100.0,132.3331952622042,132.33319494317985,203.97766803647596,231.5760445194166,193.64645000628616,174.42129439096877,241.55576283083101,193.64645000628616,174.42129439096877,231.5760445194166,193.64645000628616,174.42129439096877,150.83957038063932,165.71955254245103,148.54184425353614,170.6874569984446,165.71955254245103,148.54184425353614
Frequencies backward kernels10,,,363.9008076961587,906.3448674892062,159.3632434260176,753.6815842415896,,,,,,,,,,,,,159.40690122796462,100.0,100.0,325.7860146842518,156.34951933671212,100.0,100.0,131.32210754627667,141.5298619411678,100.0,100.0,100.0,100.0,100.0,100.0,141.89224004795003,141.89223966492364,226.2109782777419,254.79582398130208,210.11172042961533,187.1789168832083,266.46618808398773,210.11172042961533,187.1789168832083,254.79582398130208,210.11172042961533,187.1789168832083,162.1570117488043,179.88875066292312,159.40292187206367,185.77448747232043,179.88875066292312,159.40292187206367
Frequencies backward kernels11,,,386.6961625079277,985.2901107899636,169.98052299564662,835.125992819422,,,,,,,,,,,,,176.54406906276284,100.0,100.0,361.36096986550695,172.51364070689232,101.12037297884658,100.0,145.66751496622862,156.47508159666612,100.0,100.0,100.0,100.0,100.0,100.0,151.56011847459575,151.56011802931138,248.0603044993176,277.7630923158834,226.59210285491272,200.0720961627875,291.0528107025291,226.59210285491272,200.0720961627875,277.7630923158834,226.59210285491272,200.0720961627875,173.5769270293322,194.06560259878606,170.37962775201083,200.83514545198625,194.06560259878606,170.37962775201083
Frequencies backward grid0,1123.0200547686838,65536.0,753.8913072681331,65536.0,1034.9988790363216,65536.0,518.4912680476514,320.32130754783145,500.0,1500.0,432.19146807987215,320.32130754783145,500.0,1500.0,432.19146807987215,320.32130754783145,500.0,1500.0,163.29175506988688,120.98075250414692,500.0,3200.0,500.0,149.23535564691704,100.0,5000.0,500.0,159.26620586296931,300.0,2500.0,257.9547512531722,159.26620586296931,500.0,357.823426121423,357.823426121423,894.2545468709208,521.7873967024967,483.15612439994436,700.0,489.19226073465074,483.15612439994436,700.0,521.7873967024967,483.15612439994436,700.0,544.700977250144,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
Frequencies backward grid1,1626.7965167781667,65536.0,1130.5624189861267,65536.0,1552.3826770323226,65536.0,750.9722913093254,463.8282076941827,695.3960255703084,1500.0,625.9256891403746,463.8282076941827,695.3960255703084,1500.0,625.9256891403746,463.8282076941827,695.3960255703084,1500.0,244.89153980831534,181.4250410169773,500.0,3200.0,500.0,223.7972707483437,100.0,5000.0,500.0,238.85374289707516,358.2350436199255,2500.0,386.88655543856316,238.85374289707516,596.9976404288616,536.6338048065327,536.6338048065327,1341.280466795748,782.5484754593473,724.6015700009231,724.6015700009231,733.6557740038452,724.6015700009231,724.6015700009231,782.5484754593473,724.6015700009231,724.6015700009231,816.9384956364858,1512.656581147074,1512.656581147074,980.28100389151,1512.656581147074,1512.656581147074
Frequencies backward grid2,2382.4611407963093,65536.0,1507.2335084877068,65536.0,2069.7664721575957,65536.0,1099.6937503967672,679.0884353287946,1018.2862758762946,1500.0,916.5269298174715,679.0884353287946,1018.2862758762946,1500.0,916.5269298174715,679.0884353287946,1018.2862758762946,1500.0,326.49132165556017,241.8693256283889,500.0,3200.0,500.0,298.3591812197435,100.0,5000.0,500.0,318.4412770343517,477.6163424109698,2500.0,515.818357835032,318.4412770343517,795.9664696855765,715.4441771146105,715.4441771146105,1788.3063841681017,1043.3095467261069,966.0470075132783,966.0470075132783,978.1192792840136,966.0470075132783,966.0470075132783,1043.3095467261069,966.0470075132783,966.0470075132783,1089.1760088165274,2016.800117240791,2016.800117240791,1306.96601779828,2016.800117240791,2016.800117240791
Frequencies backward grid3,3458.7107104119405,65536.0,2260.575665262745,65536.0,3104.5340595364714,65536.0,1596.3575956667946,985.6711012501548,1478.160213658619,1500.0,1330.413484144414,985.6711012501548,1478.160213658619,1500.0,1330.413484144414,985.6711012501548,1478.160213658619,1500.0,489.69088245777766,362.75789094767003,500.0,3200.0,644.3264317751682,447.4829975301865,100.0,5000.0,644.7501595153672,477.6163424109698,716.3789380602059,2500.0,773.6819608386259,477.6163424109698,1193.9041270392163,1073.0649153513252,1073.0649153513252,2682.3582163564483,1564.8316817669963,1448.937874446404,1448.937874446404,1467.0462818524363,1448.937874446404,1448.937874446404,1564.8316817669963,1448.937874446404,1448.937874446404,1633.6510299688712,3025.0871866158723,3025.0871866158723,1960.336041270146,3025.0871866158723,3025.0871866158723
Frequencies backward grid4,5061.635568840222,65536.0,3767.259952131288,65536.0,5174.069230853,65536.0,2336.0696699277173,1442.283524599228,2163.078805830194,1500.0,1946.840224337752,1442.283524599228,2163.078805830194,1500.0,1946.840224337752,1442.283524599228,2163.078805830194,1500.0,816.0900005904109,604.5350169007022,806.0159537629055,3200.0,1073.8030119774014,745.7306245903046,100.0,5000.0,1074.522829922399,795.9664696855765,1193.9041270392163,2500.0,1289.4091646977774,795.9664696855765,1989.779440352671,1788.3063841681017,1788.3063841681017,4470.461877672626,2607.875942853118,2414.7195985996987,2414.7195985996987,2444.9002773955567,2414.7195985996987,2414.7195985996987,2607.875942853118,2414.7195985996987,2414.7195985996987,2722.601066020032,5041.661321982965,5041.661321982965,3267.07608300433,5041.661321982965,5041.661321982965
Frequencies backward grid5,7374.427128148128,65536.0,5273.94422883101,65536.0,7243.604400849842,65536.0,3403.3684955976228,2101.109981744475,3151.3184625392573,2041.931396401626,2836.2559202763196,2101.109981744475,3151.3184625392573,2041.931396401626,2836.2559202763196,2101.109981744475,3151.3184625392573,2041.931396401626,1142.489117401017,846.312141068514,1128.3854518718204,3200.0,1503.2795907071318,1043.9782495320885,100.0,5000.0,1504.2954993496796,1114.3165956341188,1671.4293151335298,2500.0,1805.136367739783,1114.3165956341188,2785.654753143743,2503.547850066781,2503.547850066781,6258.565537827592,3650.9202005175316,3380.5013190529257,3380.5013190529257,3422.754269286298,3380.5013190529257,3380.5013190529257,3650.9202005175316,3380.5013190529257,3380.5013190529257,3811.551099692947,7058.235456070325,7058.235456070325,4573.8161227602595,7058.235456070325,7058.235456070325
Frequencies backward grid6,10763.468209784225,65536.0,8287.312773910124,65536.0,11382.674739763022,65536.0,4967.3311145435555,3066.519020635739,4599.432000882095,2980.140341877421,4139.5581081635855,3066.519020635739,4599.432000882095,2980.140341877421,4139.5581081635855,3066.519020635739,4599.432000882095,2980.140341877421,1305.6886756205524,967.200702901157,1289.570200737334,3200.0,2362.2327469617067,1640.473497680768,100.0,5000.0,2363.8408373967463,1751.0168464482263,2626.4796906042498,2500.0,2836.590773151726,1751.0168464482263,4377.4053782844685,3576.4100472733885,3576.4100472733885,8940.721027388057,5737.008713030386,5312.06475692582,5312.06475692582,5378.462250070566,5312.06475692582,5312.06475692582,5737.008713030386,5312.06475692582,5312.06475692582,5989.451165093498,11091.383723198613,11091.383723198613,7187.29620064201,11091.383723198613,11091.383723198613
Frequencies backward grid7,18320.113846845565,65536.0,11300.681315299544,65536.0,15521.745078190484,65536.0,8454.545042454996,5219.120224037805,7828.333788036723,5072.092687410612,7045.56971963068,5219.120224037805,7828.333788036723,5072.092687410612,7045.56971963068,5219.120224037805,7828.333788036723,5072.092687410612,2448.085581991677,1813.420634167433,2417.86344162498,3200.0,3221.185902688852,2236.9687450573742,100.0,5000.0,3223.386175080744,2387.717096780291,3581.5300657480143,2500.0,3868.045178265424,2387.717096780291,5969.156003228102,5364.513707820007,5364.513707820007,13410.980176081997,7823.097224300908,7243.628193459831,7243.628193459831,7334.170229535046,7243.628193459831,7243.628193459831,7823.097224300908,7243.628193459831,7243.628193459831,8167.351229610696,15124.531989867131,15124.531989867131,9800.776277769013,15124.531989867131,15124.531989867131
Frequencies backward grid8,,,13560.707720387763,65536.0,18626.047831869946,65536.0,,,,,,,,,,,,,2937.684255914099,2176.0863186701217,2901.4176874826626,3200.0,3865.400769341334,2684.3401803962356,100.0,5000.0,3868.045178265424,2865.2422844010507,4297.817847033029,2500.0,4641.6359820297885,2865.2422844010507,7162.968971877786,6437.375903805813,6437.375903805813,16093.135665209433,9387.663607423423,8692.300770509128,8692.300770509128,8800.951213784592,8692.300770509128,8692.300770509128,9387.663607423423,8692.300770509128,8692.300770509128,9800.776277769013,18149.39318963302,18149.39318963302,11760.88633545867,18149.39318963302,18149.39318963302
Frequencies backward grid9,,,16574.07625990824,65536.0,22765.118170239723,65536.0,,,,,,,,,,,,,3590.4824877320066,2659.640564561646,3546.156681867803,3231.2376565236927,4724.3539247936915,3280.835427379942,100.0,5000.0,4727.590515759269,3501.9425344910237,5252.868221995312,2500.0,5673.090386989883,3501.9425344910237,8754.719596739762,7867.858831629016,7867.858831629016,19669.342983940514,11473.752118070064,10623.864206351685,10623.864206351685,10756.659192559386,10623.864206351685,10623.864206351685,11473.752118070064,10623.864206351685,10623.864206351685,11978.676341888648,22182.5414561377,22182.5414561377,14374.366412224357,22182.5414561377,22182.5414561377
Frequencies backward grid10,,,19587.444798963337,65536.0,26904.188508167405,65536.0,,,,,,,,,,,,,4243.280719478493,3143.194810376081,4190.895676192912,3818.7186462585823,5583.307080168375,3877.3306742756704,100.0,5000.0,5587.135853222271,4138.64278451926,6207.918596931814,2500.0,6704.544791911086,4138.64278451926,10346.470221536132,9298.341759325318,9298.341759325318,23245.550302517167,13559.840628546834,12555.427642058461,12555.427642058461,12712.367171199045,12555.427642058461,12555.427642058461,13559.840628546834,12555.427642058461,12555.427642058461,14156.576405879654,26215.689722525978,26215.689722525978,16987.846488913263,26215.689722525978,26215.689722525978
