,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso13 (Ingest) [] [Bmax=40000],hpso13 (RCAL) [] [Bmax=40000],hpso13 (ICAL) [] [Bmax=40000],hpso13 (DPrepA) [] [Bmax=40000],hpso13 (DPrepB) [] [Bmax=40000],hpso13 (DPrepC) [] [Bmax=40000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=50000],hpso27and33 (RCAL) [] [Bmax=50000],hpso27and33 (ICAL) [] [Bmax=50000],hpso27and33 (DPrepA) [] [Bmax=50000],hpso27and33 (DPrepB) [] [Bmax=50000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [],hpso37a (RCAL) [],hpso37a (ICAL) [],hpso37a (DPrepA) [],hpso37a (DPrepB) [],hpso37b (Ingest) [],hpso37b (RCAL) [],hpso37b (ICAL) [],hpso37b (DPrepA) [],hpso37b (DPrepB) [],hpso37c (Ingest) [] [Bmax=95000],hpso37c (RCAL) [] [Bmax=95000],hpso37c (ICAL) [] [Bmax=95000],hpso37c (DPrepA) [] [Bmax=95000],hpso37c (DPrepB) [] [Bmax=95000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
Frequencies backward kernels4,,287.07960266626304,287.07960266617107,205.2355925585214,225.89228829159765,439.89013651140453,,,287.07960266626304,244.7869921670379,205.2355925585214,225.89228829159765,439.89013651140453,,,287.07960266626304,244.7869921670379,205.2355925585214,225.89228829159765,439.89013651140453,,,163.88716955100116,,121.9462879347411,,59.0733971203256,,163.88716955100116,,173.20093938177862,,48.884982935847646,48.88498247058797,52.96991962867746,70.3572980117234,145.41078459230187,,51.78181282266789,52.79210211106385,53.61488284219465,54.32359955767923,47.42151211687932,,,,,,,,121.9462879347411,,87.20659145964555,87.20659145964555,99.08157760335978,99.08157760335978,,137.86124928085746,143.36195382070053,133.66874991396506,172.16244326515496,,245.01599164699897,252.14216618306602,281.42041965279765,,153.54857294656603,165.30641161327657,136.69337780111815,121.88201391060164,,153.54857294656603,153.54857294656603,136.69337842578656,121.88201391060164,,146.70195294879622,146.7019538701717,148.35292310258143,138.99486738512581,,98.42080680019032,95.68511926987189,114.33868681002009,114.33868681002009,,98.42080680019032,98.42080680019032,114.33868681002009,114.33868681002009,,378.07685560567126,729.1667131489754,378.0768556064015,282.79907643973695,287.3652905316958,306.29285150258306,784.9697651096019,,,296.208445743322,307.04166785720145,296.20844373302106,286.42715556822776,306.8071406143611,319.9873171675346,465.2269024230534,,,173.20093938177862,164.7120249435197,173.20093944646135,154.43247871535846,159.64637048793557,140.73752124785545,256.22453917057146,,,99.74077357957368,114.30058033306945,99.74077357957368,117.24659306776404,97.45942655119609,97.45942655119609,228.9899806152021,,,77.02592310533215,91.67102851887265,77.02592310533215,91.8231239256571,91.8231239256571,91.8231239256571,167.193904302071,,,57.03380370862098,69.27532148682322,57.03380370862098,56.31776764677163,56.31776764677163,65.65077217613234,119.53276095712262,,,40.0,46.58763506408917,40.0,40.11288205604275,40.11288205604275,40.11288205604275,73.02831583262218,
Frequencies backward kernels5,,,,,,,,,,,,,,,,,,,,,,,,,121.9462879347411,,67.33780278556873,,,,173.20093938177862,,48.884982935847646,48.88498247058797,52.96991962867746,70.3572980117234,145.41078459230187,,,,,,,,,,,,,,121.9462879347411,,90.25881993193103,90.25881993193103,103.5751548563306,108.72129916507762,,137.86124928085746,143.36195382070053,133.66874991396506,172.16244326515496,,,,,,158.10512490253873,165.30641161327657,136.69337780111815,130.35122914708788,,158.10512490253873,158.10512006329893,136.69337842578656,130.35122914708788,,146.70195294879622,146.7019538701717,148.35292310258143,149.63539529049544,,102.5464914955144,98.15529109581264,116.32346743476216,127.04671818475212,,102.5464914955144,102.5464914955144,116.32346743476216,127.04671818475212,,,,,,,,,,,296.208445743322,336.6190863137124,296.20844373302106,286.42715556822776,306.8071406143611,323.1219601575304,500.3684104723854,,,173.20093938177862,169.18334728164174,173.20093944646135,154.43247871535846,166.30433978620027,150.0832512520255,273.2560294626617,,,106.69312005061053,114.64060382978398,106.69312005061053,117.24659306776404,103.13277540688607,103.13277540688607,264.73401137141593,,,80.89853018542787,91.85203595871239,80.89853018542787,95.58475940938044,103.4176912626271,103.4176912626271,188.32364173001884,,,59.25948839199258,69.3768123188115,59.25948839199258,58.1117485368755,58.1117485368755,72.57729565084031,132.15553530957308,,,40.0,46.62044074748364,40.0,42.619383283717696,42.619383283717696,42.619383283717696,77.59611850047582,
Frequencies backward kernels6,,,,,,,,,,,,,,,,,,,,,,,,,121.9462879347411,,72.60029894924905,,,,173.20093938177862,,48.884982935847646,48.88498247058797,52.96991962867746,70.3572980117234,145.41078459230187,,,,,,,,,,,,,,121.9462879347411,,97.34328625163494,97.34328625163494,103.5751548563306,129.39067690344586,,137.86124928085746,143.36195382070053,133.66874991396506,172.16244326515496,,,,,,158.10512490253873,165.30641161327657,136.69337780111815,149.1209636888041,,158.10512490253873,158.10512006329893,136.69337842578656,149.1209636888041,,146.70195294879622,146.7019538701717,148.35292310258143,149.63539529049544,,112.02916402989544,103.96640140758355,116.32346743476216,153.88204001395277,,112.02916402989544,112.02916402989544,116.32346743476216,153.88204001395277,,,,,,,,,,,296.208445743322,447.42449934897166,296.20844373302106,286.42715556822776,306.8071406143611,323.1219601575304,577.6764759986258,,,173.20093938177862,188.20008361879826,173.20093944646135,154.43247871535846,166.30433978620027,170.8760303626645,311.1484231882792,,,122.09693954975197,116.17241865198501,122.09693954975197,117.24659306776404,115.88881801958296,115.88881801958296,336.90349414736556,,,89.69800427036992,92.66947660807993,89.69800427036992,95.58475940938044,112.38687847144709,127.51608980852937,232.24015235586157,,,64.3959491369555,69.83570898616674,64.3959491369555,62.29470503998523,62.29470503998523,87.29383162554981,158.9746968301093,,,42.906552523990676,46.76902944149389,42.906552523990676,48.2239045828091,48.2239045828091,48.2239045828091,87.809698951512,
Frequencies backward kernels7,,,,,,,,,,,,,,,,,,,,,,,,,121.9462879347411,,72.60029894924905,,,,173.20093938177862,,,,,,,,,,,,,,,,,,,,121.9462879347411,,105.25820800943713,105.25820800943713,103.5751548563306,150.62840488183804,,,,,,,,,,,158.10512490253873,165.30641161327657,136.69337780111815,169.03128576504568,,158.10512490253873,158.10512006329893,136.69337842578656,169.03128576504568,,146.70195294879622,146.7019538701717,148.35292310258143,149.63539529049544,,122.49907644778988,110.5701780415659,116.32346743476216,181.0854368798406,,122.49907644778988,122.49907644778988,116.32346743476216,181.0854368798406,,,,,,,,,,,296.208445743322,617.6031736903359,296.20844373302106,286.42715556822776,306.8071406143611,323.1219601575304,659.0722990961776,,,173.20093938177862,222.60927011180002,173.20093944646135,154.43247871535846,166.30433978620027,193.02075112524395,351.504579266077,,,127.27347129001329,119.2870826254953,127.27347219893059,117.24659306776404,129.62691612397677,129.62691612397677,407.49217994813307,,,99.28586891026892,94.34193206023325,99.28586891026892,95.58475940938044,112.38687847144709,151.6224353300706,276.171152891722,,,70.09468305853132,70.77758579120814,70.09468305853132,66.99446214327027,66.99446214327027,102.29195903115794,186.30703077621374,,,46.54415920764141,47.07544425393293,46.54415920764141,50.25068842418149,54.22421842159944,54.22421842159944,98.74456680254931,
Frequencies backward kernels8,,,,,,,,,,,,,,,,,,,,,,,,,121.9462879347411,,72.60029894924905,,,,173.20093938177862,,,,,,,,,,,,,,,,,,,,121.9462879347411,,111.52561585276182,111.52561585276182,103.5751548563306,166.53346828943933,,,,,,,,,,,158.10512490253873,165.30641161327657,136.69337780111815,184.23411427613212,,158.10512490253873,158.10512006329893,136.69337842578656,184.23411427613212,,146.70195294879622,146.7019538701717,148.35292310258143,149.63539529049544,,130.71651639432721,115.87013445509865,116.32346743476216,201.30374558522487,,130.71651639432721,130.71651639432721,116.32346743476216,201.30374558522487,,,,,,,,,,,296.208445743322,775.1714649613641,296.20844373302106,286.42715556822776,306.8071406143611,323.1219601575304,720.9300728384762,,,173.20093938177862,258.11745921681444,173.20093944646135,154.43247871535846,166.30433978620027,209.9734251356629,382.3988430086494,,,127.27347129001329,122.93472226699336,127.27347219893059,117.24659306776404,140.2221255791968,140.2221255791968,458.99074441125634,,,106.73980142696797,96.3177280683699,106.73980142696797,95.58475940938044,112.38687847144709,169.4110371138345,308.58880592724176,,,74.58348358447986,71.89542375889535,74.58348358447986,70.7322483308186,70.7322483308186,113.47206523042472,206.68146951635137,,,49.41723166661796,47.44166624398829,49.41723166661796,50.25068842418149,58.83352715505925,58.83352715505925,107.14449213735205,
Frequencies backward kernels9,,,,,,,,,,,,,,,,,,,,,,,,,121.9462879347411,,72.60029894924905,,,,173.20093938177862,,,,,,,,,,,,,,,,,,,,121.9462879347411,,120.15018118695338,120.15018118695338,103.5751548563306,187.5092587894614,,,,,,,,,,,158.10512490253873,165.30641161327657,136.69337780111815,204.5610417967664,,158.10512490253873,158.10512006329893,136.69337842578656,204.5610417967664,,146.70195294879622,146.7019538701717,148.35292310258143,149.63539529049544,,141.9411103704235,123.24965257429922,116.32346743476216,227.83194540750623,,141.9411103704235,141.9411103704235,116.32346743476216,227.83194540750623,,,,,,,,,,,296.208445743322,1017.0273949533794,296.20844373302106,286.42715556822776,306.8071406143611,323.1219601575304,803.3522919361717,,,173.20093938177862,316.6126818088863,173.20093944646135,154.43247871535846,166.30433978620027,232.68332612548946,423.78498277643376,,,127.27347129001329,129.8029255479679,127.27347219893059,117.24659306776404,154.49500035943908,154.49500035943908,525.7674919370401,,,116.84381521844713,100.08493163227122,116.84381521844713,95.58475940938044,112.38687847144709,192.64249677340916,350.925435415683,,,80.73316643559622,74.04148023043199,80.73316643559622,75.8951347273864,75.8951347273864,128.17030526296924,233.4672984530435,,,53.36231387302756,48.15245595460622,53.36231387302756,50.25068842418149,65.02409884088878,65.02409884088878,118.4260850813041,
Frequencies backward kernels10,,,,,,,,,,,,,,,,,,,,,,,,,121.9462879347411,,72.60029894924905,,,,173.20093938177862,,,,,,,,,,,,,,,,,,,,121.9462879347411,,128.9552839954365,128.9552839954365,103.5751548563306,208.1366131261313,,,,,,,,,,,158.10512490253873,165.30641161327657,136.69337780111815,224.78039900687565,,158.10512490253873,158.10512006329893,136.69337842578656,224.78039900687565,,,,,,,153.32109592051842,130.87068191326208,116.32346743476216,253.81258007006804,,153.32109592051842,153.32109592051842,116.32346743476216,253.81258007006804,,,,,,,,,,,296.208445743322,1289.666896670604,296.20844373302106,286.42715556822776,306.8071406143611,323.1219601575304,885.098465910932,,,173.20093938177862,385.8324063441919,173.20093944646135,154.43247871535846,166.30433978620027,255.3101270029092,465.0196856198049,,,127.27347129001329,139.11266328044837,127.27347219893059,117.24659306776404,168.7849608730139,168.7849608730139,590.5695188942842,,,127.01622632134058,105.2794570411825,127.01622632134058,95.58475940938044,112.38687847144709,215.31092369464866,392.2360052200032,,,86.985267983825,77.02989138280626,86.985267983825,81.18514136247647,81.18514136247647,142.58783823345684,259.7415729824409,,,57.381700631565415,49.158555805272634,57.381700631565415,50.25068842418149,71.20578060895679,71.20578060895679,129.69147812411282,
Frequencies backward kernels11,,,,,,,,,,,,,,,,,,,,,,,,,121.9462879347411,,72.60029894924905,,,,173.20093938177862,,,,,,,,,,,,,,,,,,,,121.9462879347411,,137.85165693163975,137.85165693163975,103.5751548563306,228.388866960684,,,,,,,,,,,158.10512490253873,165.30641161327657,136.69337780111815,244.79800799337164,,158.10512490253873,158.10512006329893,136.69337842578656,244.79800799337164,,,,,,,164.7543320947048,138.64525766969206,116.32346743476216,279.2470633962394,,164.7543320947048,164.7543320947048,116.32346743476216,279.2470633962394,,,,,,,,,,,296.208445743322,1589.3536163417953,296.20844373302106,286.42715556822776,306.8071406143611,323.1219601575304,965.8538135668687,,,173.20093938177862,464.0750295496151,173.20093944646135,154.43247871535846,166.30433978620027,277.73858492428997,505.89293686073785,,,127.27347129001329,150.8859160981194,127.27347219893059,117.24659306776404,183.0017781750414,183.00177690785853,653.6134492359188,,,137.1799362665934,111.97379672547139,137.1799362665934,95.58475940938044,112.38687847144709,237.44636555354228,432.5752716055618,,,93.28061297988131,80.92574577113514,93.28061297988131,86.54593564466762,86.54593513624124,156.71787505847362,285.491920359852,,,61.43592627585319,50.49710192354438,61.43592627585319,50.25068842418149,77.34354832846326,77.3435481430095,140.87684298952905,
Frequencies backward grid0,32768.0,1789.4312556780048,1789.4312556780048,663.1885345814411,663.1885345814411,1500.0,(undefined),32768.0,1789.4312556780048,1193.1851449561725,663.1885345814411,663.1885345814411,1500.0,(undefined),32768.0,1789.4312556780048,1193.1851449561725,663.1885345814411,663.1885345814411,1500.0,(undefined),65536.0,1096.525415763204,65536.0,384.9903927136422,65536.0,221.01357928574132,65536.0,1096.525415763204,65536.0,630.500997159299,41000.0,261.21149632239513,261.21149632239513,403.0540788670101,500.0,3200.0,65536.0,322.2189921177397,358.008708207243,497.1909356825173,497.1909356825173,5000.0,65536.0,257.9547512531722,716.3789380602059,398.02881001253394,398.02881001253394,2500.0,65536.0,384.9903927136422,65536.0,579.5482945194844,579.5482945194844,894.2545468709208,894.2545468709208,65536.0,978.1192792840136,1207.4924417886202,1207.4924417886202,1207.4924417886202,65536.0,2034.5730199598029,2511.6897145573553,2511.6897145573553,65536.0,559.0389802377872,652.167937578682,483.15612439994436,700.0,65536.0,559.0389802377872,559.0389802377872,483.15612439994436,700.0,65536.0,782.5484754593473,782.5484754593473,1207.4924417886202,700.0,65536.0,653.5959856457442,544.700977250144,1008.5130422414231,1008.5130422414231,65536.0,653.5959856457442,653.5959856457442,1008.5130422414231,1008.5130422414231,65536.0,2512.698790060951,1809.0904657256951,2512.698790060951,931.2414905129898,931.2414905129898,931.2414905129898,65536.0,(undefined),65536.0,904.5597563976627,3252.4350388181706,904.5597563976627,1005.0053854489457,1005.0053854489457,753.8913072681331,65536.0,(undefined),65536.0,630.500997159299,1763.4641473468378,630.500997159299,544.9192586195416,544.9192586195416,500.0,65536.0,(undefined),65536.0,624.8353800384707,1248.474078168412,624.8353800384707,964.1342651844309,578.5673494422896,578.5673494422896,65536.0,(undefined),65536.0,490.78836247459066,980.6330847493856,490.78836247459066,757.2948648839946,757.2948648839946,757.2948648839946,65536.0,(undefined),65536.0,387.89753303595126,775.0552407156821,387.89753303595126,359.17413165102994,359.17413165102994,598.5358063662928,65536.0,(undefined),65536.0,312.4475764035551,499.4710456886,312.4475764035551,385.7169764969673,385.7169764969673,500.0,65536.0,(undefined)
Frequencies backward grid1,32768.0,3578.169498413163,3578.169498413163,1325.6842841487744,1325.6842841487744,2576.0131800688873,,32768.0,3578.169498413163,2385.6773440448724,1325.6842841487744,1325.6842841487744,2576.0131800688873,,32768.0,3578.169498413163,2385.6773440448724,1325.6842841487744,1325.6842841487744,2576.0131800688873,,65536.0,2192.6272644305495,65536.0,577.3907426384637,65536.0,331.46660562125743,65536.0,2192.6272644305495,65536.0,945.5973858340815,41000.0,391.7711462657152,391.7711462657152,604.5350169007022,604.5350169007022,3200.0,65536.0,483.27271301923463,536.9572860809892,745.7306245903046,745.7306245903046,5000.0,65536.0,386.88655543856316,1074.522829922399,596.9976404288616,596.9976404288616,2500.0,65536.0,577.3907426384637,65536.0,869.2210952001216,869.2210952001216,1341.280466795748,1341.280466795748,65536.0,1467.0462818524363,1811.1060218133737,1811.1060218133737,1811.1060218133737,65536.0,3051.5849180597625,3767.259952131288,3767.259952131288,65536.0,838.4258482659727,978.1192792840136,724.6015700009231,700.0,65536.0,838.4258482659727,838.4258482659727,724.6015700009231,700.0,65536.0,1173.6900811103947,1173.6900811103947,1811.1060218133737,724.6015700009231,65536.0,980.28100389151,816.9384956364858,1512.656581147074,1512.656581147074,65536.0,980.28100389151,980.28100389151,1512.656581147074,1512.656581147074,65536.0,5024.424813405256,3617.208237988821,5024.424813405256,1861.5105341316757,1861.5105341316757,1861.5105341316757,65536.0,,65536.0,1356.5650741686497,4878.377930924128,1356.5650741686497,1507.2335084877068,1507.2335084877068,1130.5624189861267,65536.0,,65536.0,945.5973858340815,2645.042084215139,945.5973858340815,817.2247845994948,817.2247845994948,612.9956417281602,65536.0,,65536.0,937.1445813732993,1872.6026181108641,937.1445813732993,1446.0929017246065,867.7425371530907,867.7425371530907,65536.0,,65536.0,736.0954842024919,1470.8625590408603,736.0954842024919,1135.855231776643,1135.855231776643,1135.855231776643,65536.0,,65536.0,581.7804893085284,1162.5170446296113,581.7804893085284,538.6953882234403,538.6953882234403,897.7378949369104,65536.0,,65536.0,468.627086529404,749.1622878457075,468.627086529404,578.531185344861,578.531185344861,578.531185344861,65536.0,
Frequencies backward grid2,32768.0,7155.645916780303,7155.645916780303,2650.675602311196,2650.675602311196,5151.333306208186,,32768.0,7155.645916780303,4770.661641597791,2650.675602311196,2650.675602311196,5151.333306208186,,32768.0,7155.645916780303,4770.661641597791,2650.675602311196,2650.675602311196,5151.333306208186,,65536.0,4384.8309208572955,65536.0,769.7910873708475,65536.0,441.9196290505016,65536.0,4384.8309208572955,65536.0,1260.6937661381571,41000.0,522.3307944011752,522.3307944011752,806.0159537629055,806.0159537629055,3200.0,65536.0,644.3264317751682,715.9058620235973,994.2703121075014,994.2703121075014,5000.0,65536.0,515.818357835032,1432.6667211420954,795.9664696855765,795.9664696855765,2500.0,65536.0,769.7910873708475,65536.0,1158.8938919419184,1158.8938919419184,1788.3063841681017,1788.3063841681017,65536.0,1955.9732804231985,2414.7195985996987,2414.7195985996987,2414.7195985996987,65536.0,4068.596807922735,5022.83018303477,5022.83018303477,65536.0,1117.8127093029952,1304.070614995905,966.0470075132783,724.6015700009231,65536.0,1117.8127093029952,1117.8127093029952,966.0470075132783,724.6015700009231,65536.0,1564.8316817669963,1564.8316817669963,2414.7195985996987,966.0470075132783,65536.0,1306.96601779828,1089.1760088165274,2016.800117240791,2016.800117240791,65536.0,1306.96601779828,1306.96601779828,2016.800117240791,2016.800117240791,65536.0,10047.876765942678,7233.443651746777,10047.876765942678,3722.048367432926,3722.048367432926,3722.048367432926,65536.0,,65536.0,1808.570373420898,6504.3208178727855,1808.570373420898,2009.4616148571042,2009.4616148571042,1507.2335084877068,65536.0,,65536.0,1260.6937661381571,3526.6200180912742,1260.6937661381571,1089.530300895098,1089.530300895098,817.2247845994948,65536.0,,65536.0,1249.4537785218913,2496.731155957967,1249.4537785218913,1928.0515355533043,1156.917720343117,1156.917720343117,65536.0,,65536.0,981.402602498862,1961.092031615367,981.402602498862,1514.4155964449083,1514.4155964449083,1514.4155964449083,65536.0,,65536.0,775.663443099977,1549.9788473015467,775.663443099977,718.2166421163894,718.2166421163894,1196.9399818997936,65536.0,,65536.0,624.8065952610568,998.8535291309122,624.8065952610568,771.345393063828,771.345393063828,771.345393063828,65536.0,
Frequencies backward grid3,32768.0,14310.598719951107,14310.598719951107,5300.658148066288,5300.658148066288,10301.97351186012,,32768.0,14310.598719951107,9540.630186376056,5300.658148066288,5300.658148066288,10301.97351186012,,32768.0,14310.598719951107,9540.630186376056,5300.658148066288,5300.658148066288,10301.97351186012,,65536.0,8769.238213259972,65536.0,1154.5917716421645,65536.0,662.8256730018257,65536.0,8769.238213259972,65536.0,1890.8865183728738,41000.0,783.4500888644667,783.4500888644667,1208.9778263156445,1208.9778263156445,3200.0,65536.0,966.4338671409787,1073.8030119774014,1491.3496857510963,1491.3496857510963,5000.0,65536.0,773.6819608386259,2148.954502933313,1193.9041270392163,1193.9041270392163,2500.0,65536.0,1154.5917716421645,65536.0,1738.239481487407,1738.239481487407,2682.3582163564483,2682.3582163564483,65536.0,2933.827273569541,3621.9467489340564,3621.9467489340564,3621.9467489340564,65536.0,6102.620579416902,7533.970638170312,7533.970638170312,65536.0,1676.58642438262,1955.9732804231985,1448.937874446404,1086.7697249209346,65536.0,1676.58642438262,1676.58642438262,1448.937874446404,1086.7697249209346,65536.0,2347.114878082577,2347.114878082577,3621.9467489340564,1448.937874446404,65536.0,1960.336041270146,1633.6510299688712,3025.0871866158723,3025.0871866158723,65536.0,1960.336041270146,1960.336041270146,3025.0871866158723,3025.0871866158723,65536.0,20094.780623893577,14465.914413852615,20094.780623893577,7443.123906952532,7443.123906952532,7443.123906952532,65536.0,,65536.0,2712.580953399158,9756.206586629321,2712.580953399158,3013.917810920462,3013.917810920462,2260.575665262745,65536.0,,65536.0,1890.8865183728738,5289.77588285103,1890.8865183728738,1634.1413237984086,1634.1413237984086,1225.683057428352,65536.0,,65536.0,1874.0721686334662,3744.9882295565817,1874.0721686334662,2891.968800495013,1735.2680822026339,1735.2680822026339,65536.0,,65536.0,1472.016835659259,2941.5509750472097,1472.016835659259,2271.5363235567147,2271.5363235567147,2271.5363235567147,65536.0,,65536.0,1163.4293482011838,2324.902451403282,1163.4293482011838,1077.2591472221711,1077.2591472221711,1795.3441542175892,65536.0,,65536.0,937.1656113299033,1498.2360108293155,937.1656113299033,1156.9738073711717,1156.9738073711717,1156.9738073711717,65536.0,
Frequencies backward grid4,32768.0,28620.504309573727,28620.504309573727,10600.623194271158,10600.623194271158,20603.253899857915,,32768.0,28620.504309573727,19080.56725075056,10600.623194271158,10600.623194271158,20603.253899857915,,32768.0,28620.504309573727,19080.56725075056,10600.623194271158,10600.623194271158,20603.253899857915,,65536.0,17538.052787823082,65536.0,1924.1931339488854,65536.0,1104.637757415336,65536.0,17538.052787823082,65536.0,3151.2720127948655,41000.0,1305.6886756205524,1305.6886756205524,2014.9015700148148,2014.9015700148148,3671.8483988277135,65536.0,1610.6487352975146,1789.5973095663412,2485.5084313703824,2485.5084313703824,5000.0,,,,,,,65536.0,1924.1931339488854,65536.0,2896.9306558489093,2896.9306558489093,4470.461877672626,4470.461877672626,65536.0,4889.535255060916,6036.401045713372,6036.401045713372,6036.401045713372,65536.0,8136.644346788232,10045.11108995104,10045.11108995104,65536.0,2794.133846147517,3259.7786040836563,2414.7195985996987,1811.1060218133737,65536.0,2794.133846147517,2794.133846147517,2414.7195985996987,1811.1060218133737,65536.0,3911.681264714464,3911.681264714464,6036.401045713372,2414.7195985996987,65536.0,3267.07608300433,2722.601066020032,5041.661321982965,5041.661321982965,65536.0,3267.07608300433,3267.07608300433,5041.661321982965,5041.661321982965,65536.0,40188.588316266854,28930.855905350065,40188.588316266854,14885.274922420835,14885.274922420835,14885.274922420835,65536.0,,65536.0,4520.602091119545,16259.978117949031,4520.602091119545,5022.83018303477,5022.83018303477,3767.259952131288,65536.0,,65536.0,3151.2720127948655,8816.087608755946,3151.2720127948655,2723.3633579754173,2723.3633579754173,2042.59958758406,65536.0,,65536.0,3123.308943830835,6241.502374238896,3123.308943830835,4819.803327119454,2891.968800495013,2891.968800495013,65536.0,,65536.0,2453.245297858902,4902.4688598435,2453.245297858902,3785.777775112199,3785.777775112199,3785.777775112199,65536.0,,65536.0,1938.961155425732,3874.749658121138,1938.961155425732,1795.3441542175892,1795.3441542175892,2992.1524969186466,65536.0,,65536.0,1561.8836417927025,2497.000973176252,1561.8836417927025,1928.2306346300104,1928.2306346300104,1928.2306346300104,65536.0,
